Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
"April 5, 202409:12[84]",F9B5B1069‑14,"Cape Canaveral,SLC‑40",Starlink:Group 6-47(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"April 7, 202402:25[85]",F9B5B1081‑6,"Vandenberg,SLC‑4E",Starlink:Group 8-1(21satellites),"~16,800 kg (37,000 lb)",LEO
"Launch of 21 Starlink v2mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"April 7, 202423:16[86]",F9B5B1073‑14,"Kennedy,LC‑39A",Bandwagon-1(11 payload smallsat rideshare)425 Project Flight 2,Unknown[l],LEO
"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[67][87]The mission includes flight 2 of 425 Project, a militarySARsatellite of South Korea with a mass of ~800 kg (1,800 lb).",,,,,
"April 10, 202405:40[88]",F9B5B1083‑2,"Cape Canaveral,SLC‑40",Starlink:Group 6-48(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,,,,,
"April 11, 202414:25[89]",F9B5B1082‑3,"Vandenberg,SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)",SSO
"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of theWeather System Follow-on Microwaveweather satellite, which replaced the agingDefense Meteorological Satellite Programsatellites.[90][48]",,,,,
"April 13, 202401:40[91]",F9B5B1062‑20,"Cape Canaveral,SLC‑40",Starlink:Group 6-49(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.",,,,,
"April 17, 202421:26[92]",F9B5B1077‑12,"Kennedy,LC‑39A",Starlink:Group 6-51(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"April 18, 202422:40[93]",F9B5B1080‑7,"Cape Canaveral,SLC‑40",Starlink:Group 6-52(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"April 23, 202422:17[94]",F9B5B1078‑9,"Cape Canaveral,SLC‑40",Starlink:Group 6-53(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[95]",,,,,
"April 28, 202400:34[96]",F9B5B1060‑20,"Kennedy,LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)",MEO
"First Galileo satellites booked on a US rocket following delays to the EuropeanAriane 6program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.",,,,,
"April 28, 202422:08[97]",F9B5B1076‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-54(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,,,,,
"May 2, 202418:36[98]",F9B5B1061‑20,"Vandenberg,SLC‑4E",WorldView Legion1 & 2,"1,500 kg (3,300 lb)",SSO
"TwoMaxar Technologiessatellites built by subsidiarySSLfor subsidiaryDigitalGlobe.[99]Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,
"May 3, 202402:37[100]",F9B5B1067‑19,"Cape Canaveral,SLC‑40",Starlink:Group 6-55(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,,,,,
"May 6, 202418:14[101]",F9B5B1069‑15,"Cape Canaveral,SLC‑40",Starlink:Group 6-57(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"May 8, 202418:42[102]",F9B5B1083‑3,"Kennedy,LC‑39A",Starlink:Group 6-56(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"May 10, 202404:30[103]",F9B5B1082‑4,"Vandenberg,SLC‑4E",Starlink:Group 8-2(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"May 13, 202400:53[104]",F9B5B1073‑15,"Cape Canaveral,SLC‑40",Starlink:Group 6-58(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"May 14, 202418:39[105]",F9B5B1063‑18,"Vandenberg,SLC‑4E",Starlink:Group 8-7(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"May 18, 202400:32[106]",F9B5B1062‑21,"Cape Canaveral,SLC‑40",Starlink:Group 6-59(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 21st time, new record.",,,,,
"May 22, 202408:00[107]",F9B5B1071‑16,"Vandenberg,SLC‑4E",NROL-146 (21Starshieldsatellites),Unknown,SSO
The first launch of SpaceX/Northrop builtStarshieldsatellites for the National Reconnaissance Office.[108][109],,,,,
"May 23, 202402:35[110]",F9B5B1080‑8,"Cape Canaveral,SLC‑40",Starlink:Group 6-62(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"May 24, 202402:45[111]",F9B5B1077‑13,"Kennedy,LC‑39A",Starlink:Group 6-63(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 19th time.,,,,,
"May 28, 202414:24[112]",F9B5B1078‑10,"Cape Canaveral,SLC‑40",Starlink:Group 6-60(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"May 28, 202422:20[113]",F9B5B1081‑7,"Vandenberg,SLC‑4E",EarthCARE,"2,350 kg (5,180 lb)",SSO
"EarthCARE (Cloud, Aerosol and Radiation Explorer) satellite was the sixth mission in ESA's Earth Explorer program.[114]Tenth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. This marked the first time SpaceX has completed 13 Falcon launches in a calendar month.",,,,,
"June 1, 202402:37[115]",F9B5B1076‑14,"Cape Canaveral,SLC‑40",Starlink:Group 6-64(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest landing-to-landing turnaround of a drone ship, withA Shortfall of Gravitashaving serviced the previous Starlink launch only 3 days, 12 hours prior.[116]First time SpaceX has completed 14 Falcon launches in a calendar month (the launch took place on the evening of May 31 local time).",,,,,
"June 5, 202402:16[117]",F9B5B1067‑20,"Cape Canaveral,SLC‑40",Starlink:Group 8-5(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"June 8, 202401:56[118]",F9B5B1069‑16,"Cape Canaveral,SLC‑40",Starlink:Group 10-1(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon 9 booster landing.,,,,,
"June 8, 202412:58[119]",F9B5B1061‑21,"Vandenberg,SLC‑4E",Starlink:Group 8-8(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 21st time.",,,,,
"June 19, 202403:40[120]",F9B5B1082‑5,"Vandenberg,SLC‑4E",Starlink:Group 9-1(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"June 20, 202421:35[121]",F9B5B1080‑9,"Cape Canaveral,SLC‑40",Astra 1P,"5,000 kg (11,000 lb)",GTO
ASESsatellite serving major broadcasters across Europe.,,,,,
"June 23, 202417:15[122]",F9B5B1078‑11,"Cape Canaveral,SLC‑40",Starlink:Group 10-2(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. A launch attempt on June 14 was scrubbed whenB1073commanded an abort seconds after engine ignition. The payload and second stage were moved toB1078for launch.[123]1st time flying a fairing half for the 20th time.,,,,,
"June 24, 202403:47[124]",F9B5B1075‑11,"Vandenberg,SLC‑4E",Starlink:Group 9-2(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"June 25, 202421:26[125]",Falcon HeavyB5B1087(core),"Kennedy,LC‑39A",GOES-U (GOES-19)[126],"5,000 kg (11,000 lb)",GTO
B1072‑1(side),Success (LZ‑1),,,,
B1086‑1(side),Success (LZ‑2),,,,
"In September 2021, NASA awarded SpaceX a $152.5 million contract to provide launch services for theGOES-Uweather satellite (renamed as GOES-19 after reaching geostationary orbit).[127]Fourth time a second stage featured Falcon medium coast mission-extension kit. Center core expended as side boosters landed on LZ-1 and 2.",,,,,
"June 27, 202411:14[128]",F9B5B1062‑22,"Cape Canaveral,SLC‑40",Starlink:Group 10-3(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly for the 22nd time, new record.",,,,,
"June 29, 202403:14[129]",F9B5B1081‑8,"Vandenberg,SLC‑4E",NROL-186 (~21Starshieldsatellites),Unknown,SSO
The second launch of SpaceX/Northrop GrummanbuiltStarshieldsatellites for the National Reconnaissance Office.,,,,,
"July 3, 202408:55[130]",F9B5B1073‑16,"Cape Canaveral,SLC‑40",Starlink:Group 8-9(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th Starlink satellite launched with direct-to-cell connectivity.",,,,,
"July 8, 202423:30[131]",F9B5B1076‑15,"Cape Canaveral,SLC‑40",Türksat 6A,"4,250 kg (9,370 lb)",GTO
First domestically produced Turkish communications satellite.[132],,,,,
"July 12, 202402:35[133]",F9B5B1063‑19,"Vandenberg,SLC‑4E",Starlink:Group 9-3(20satellites),"~16,300 kg (35,900 lb)",LEO
"Launch of 20 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, that failed to reach the target orbit. The mission experienced a failure of its second stage. While the initial burn proceeded as planned, a subsequent liquid oxygen leak led to engine disintegration during a planned second burn.[134][135]All starlink satellites were deployed, but without the additional burn, all Starlink satellites were lost due to atmospheric drag.[136]The incident marked the first Falcon 9 Block 5 failure since its introduction, ending a streak of 325 consecutive successful Falcon 9 launches following the pre-flight anomaly ofAMOS-6.[137][138]The FAA initiated a SpaceX-performed mishap investigation, halting Falcon 9 launches until concluding that no public safety risks were present.[139]The rocket was cleared to resume flight on July 25, 2024, though the overall investigation remained open.[140]",,,,,
"July 27, 202405:45[141]",F9B5B1069‑17,"Kennedy,LC‑39A",Starlink:Group 10-9(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,,,,,
"July 28, 202405:09[142]",F9B5B1077‑14,"Cape Canaveral,SLC‑40",Starlink:Group 10-4(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,,,,,
"July 28, 202409:22[142]",F9B5B1071‑17,"Vandenberg,SLC‑4E",Starlink:Group 9-4(21satellites),"~16,500 kg (36,400 lb)",LEO
"Launch of 21 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"August 2, 202405:01[143]",F9B5B1078‑12,"Kennedy,LC‑39A",Starlink:Group 10-6(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
"August 4, 202407:24[144]",F9B5B1082‑6,"Vandenberg,SLC‑4E",Starlink:Group 11-1(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
"August 4, 202415:02[145]",F9B5B1080‑10,"Cape Canaveral,SLC‑40","CRS NG-21 (S.S. Francis R. ""Dick"" Scobee)","3,857 kg (8,503 lb)",LEO(ISS)
"Second of four launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. UnmannedEnhanced Cygnuscargo spacecraft named in honor ofFrancis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,
"August 10, 202412:50[146]",F9B5B1067‑21,"Cape Canaveral,SLC‑40",Starlink:Group 8-3(21satellites),"~16,500 kg (36,400 lb)",LEO
"Launch of 21 Starlink v2mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"August 12, 202402:02[147]",F9B5B1061‑22,"Vandenberg,SLC‑4E",ASBM1(GX10A) &ASBM2(GX10B),"~7,230 kg (15,940 lb)[148]",Molniya
"Space Norwaylaunched two satellites built byInmarsatfor theArctic Satellite Broadband Mission(ASBM) system into highly elliptical Molniya transfer orbits[149](apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[150][151][152]Second booster to fly for the 22nd time.",,,,,
"August 12, 202410:37[153]",F9B5B1073‑17,"Kennedy,LC‑39A",Starlink:Group 10-7(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
"August 15, 202413:00[154]",F9B5B1076‑16,"Cape Canaveral,SLC‑40",WorldView Legion3 & 4,"1,500 kg (3,300 lb)",LEO
Maxar Technologiesbuilt satellites.[99][155],,,,,
"August 16, 202418:56[156]",F9B5B1075‑12,"Vandenberg,SLC-4E",Transporter-11(116 payload smallsat rideshare),Unknown[l],SSO
Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[67]Fifth time a second stage featured Falcon medium coast mission-extension kit.,,,,,
